BugsCode,BugsNm
1000,쥐
1100,바퀴
1200,개미
1300,저곡해충
1410,진드기
1510,먼지다듬이
1610,고양이
1710,거미
1810,집게벌레
5000,파리
5100,모기
5210,하루살이
5310,화랑곡나방
5400,나방
8888,미동정
9999,기타
1000,쥐
1010,집웅쥐
1020,시궁쥐
1030,생쥐
1040,땃쥐
1050,두더지
1060,들쥐
1070,흰넓적다리붉은 쥐 
1080,등줄쥐
1100,바퀴
1110,독일바퀴
1120,미국바퀴
1130,먹바퀴
1140,일본바퀴
1150,경도바퀴
1160,산바퀴
1200,개미
1210,애집개미
1220,침개미
1230,유령개미
1240,미친개미
1250,미동정개미
1260,외곽개미
1300,저곡해충
1310,쌀바구미
1311,팥바구미
1320,거짓쌀도둑거저리
1330,톱가슴머리대장
1340,장두
1350,애알락수시렁이
1360,애수시렁이
1370,암검은수시렁이
1380,권연벌레
1390,거저리
1410,진드기
1420,흡혈진드기
1510,먼지다듬이
1610,고양이
1710,거미
1810,집게벌레
1820,쥐며느리
1830,노래기
1840,지네
5000,파리
5001,얼룩점초파리
5010,집파리
5020,딸집파리
5030,나방파리
5040,초파리
5041,얼룩무늬등초파리
5050,날파리
5051,검정날개버섯파리과
5060,벼룩파리
5070,큰검정파리
5080,구리금파리
5090,쉬파리
5091,애기똥파리
5092,붉은등우단털파리
5100,모기
5110,숲모기
5120,지하집모기
5130,장구벌레
5140,깔따구
5150,깔따구유충
5210,하루살이
5310,화랑곡나방
5320,줄알락명나방
5330,지중해가루명나방
5400,나방
5401,멸강나방
8888,미동정
0000,해충없음
9001,딱정벌레
9002,풍뎅이
9003,먼지벌레
9004,메뚜기
9005,방아깨비
9006,여치
9007,매미
9008,털파리
9009,하늘소
9010,등에
9011,꼽등이
9012,벌
9013,흰개미
9014,멸구
9015,각다귀
9016,사면발이
9017,톡토기
9018,물자라
9019,반날개
9020,풀잠자리
9021,딱정벌레
9022,사슴벌레
9023,무당벌레
9024,흡혈해충
9025,벼룩
9026,응애
9027,빈대
9028,보리나방
9029,그리마
9030,귀뚜라미
9031,직물해충
9032,옷좀나방
9033,좀벌레
9034,수목해충
9035,진딧물
9036,송충이
9037,노린재
9038,목재해충
9039,길앞잡이
9041,미국선녀벌레
9042,날도래류
9043,동굴표본벌레
9044,방아벌레
9045,나무좀벌레
9046,권련침벌
9047,가루이
9048,매미충
9049,다듬이벌레(유시충)
9500,썬더블루 포획
9510,블루스톰 포획
9999,기타
