대분류,중분류,소분류
기타,기타,기타
배송문제,기타,기타
배송문제,반품/교환 요청,반품/교환 요청
배송문제,배송 누락,배송 누락
배송문제,배송 지연,배송 지연
배송문제,오배송,오배송
배송문제,제품 불량,파손/불량
서비스 품질,작업 품질,가격 대비 서비스 품질 불만
서비스 품질,작업 품질,고객 서명 절차 미흡
서비스 품질,담당자 불만,고객 응대 미흡
서비스 품질,일정 불만,관리 일정 누락/미연락
서비스 품질,기타,기타
서비스 품질,담당자 불만,기타
서비스 품질,일정 불만,기타
서비스 품질,작업 품질,기타
서비스 품질,처리 지연,기타
서비스 품질,특수 이슈,기타
서비스 품질,일정 불만,긴급 진단 대응 지연
서비스 품질,담당자 불만,담당자 변경 요청
서비스 품질,처리 지연,담당자 연락 지연
서비스 품질,작업 품질,뒷정리 미이행
서비스 품질,일정 불만,무료 방문 대응 지연
서비스 품질,일정 불만,방문 상담 지연
서비스 품질,일정 불만,방문 주기 불만
서비스 품질,작업 품질,부품/자재 누락
서비스 품질,특수 이슈,사고 접수
서비스 품질,일정 불만,사전 연락 미흡
서비스 품질,작업 품질,서비스 내용 불일치
서비스 품질,처리 지연,서비스 지연
서비스 품질,작업 품질,서비스 진행 시간 부족
서비스 품질,작업 품질,서비스 품질 미흡
서비스 품질,작업 품질,설치 불만
서비스 품질,처리 지연,설치/AS/회수 지연
서비스 품질,특수 이슈,손해배상 요청
서비스 품질,일정 불만,약속시간 미준수
서비스 품질,일정 불만,일정 확정통화 미이행
서비스 품질,작업 품질,제품 품질 미흡
서비스 품질,작업 품질,제품/서비스 설명 부족
서비스 품질,담당자 불만,"차량 클레임 (주차, 소음, 사고 등)"
시스템/전산 오류,기타,기타
시스템/전산 오류,서비스 리포트,기타
시스템/전산 오류,전자서명/계약 시스템,기타
시스템/전산 오류,서비스 리포트,서비스 리포트
시스템/전산 오류,전자서명/계약 시스템,전자서명/계약 시스템
요금/계약 문제,고객정보 관리,개인정보 동의 거부
요금/계약 문제,납부/청구 문제,계산서 발행 조건 변경 요청
요금/계약 문제,계약 조건,계약 문의/변경 요청
요금/계약 문제,계약 조건,계약 조건 문의
요금/계약 문제,계약 조건,계약 조건 변경
요금/계약 문제,계약 조건,계약 진행/접수 확인
요금/계약 문제,납부/청구 문제,고객변심 취소 처리
요금/계약 문제,고객정보 관리,고객정보 현행화 미이행
요금/계약 문제,계약 조건,기타
요금/계약 문제,계약/주문 처리 문제,기타
요금/계약 문제,고객정보 관리,기타
요금/계약 문제,기타,기타
요금/계약 문제,납부/청구 문제,기타
요금/계약 문제,미수금,기타
요금/계약 문제,비용 산정/변동,기타
요금/계약 문제,계약 조건,단순 문의
요금/계약 문제,계약 조건,명의 변경 문제
요금/계약 문제,계약 조건,명의/계약 정보 변경
요금/계약 문제,계약 조건,명의변경
요금/계약 문제,납부/청구 문제,미납 문자 오발송
요금/계약 문제,미수금,미수금 발생 문의
요금/계약 문제,미수금,미수금 청구 불만
요금/계약 문제,계약 조건,비용 부담
요금/계약 문제,납부/청구 문제,비용 부담 유예 요청
요금/계약 문제,비용 산정/변동,비용 인상
요금/계약 문제,비용 산정/변동,서비스 미진행 비용 청구
요금/계약 문제,계약 조건,안내 비용 불일치
요금/계약 문제,계약 조건,약정/위약금 고지 미흡
요금/계약 문제,계약 조건,위약금 불만
요금/계약 문제,계약 조건,이전 설치 요청
요금/계약 문제,고객정보 관리,정보 변경
요금/계약 문제,계약 조건,제품 이관 요청
요금/계약 문제,계약/주문 처리 문제,제품 이관 요청
요금/계약 문제,계약/주문 처리 문제,주문/접수 오류
요금/계약 문제,비용 산정/변동,청구 금액 불만
요금/계약 문제,계약 조건,프로모션/혜택 불만
요금/계약 문제,계약 조건,해약 절차 불만
운영 관리,계약/매출 처리,고객변심 취소 처리
운영 관리,업무 일정 관리,고객사 일정 준수 요청
운영 관리,계약/매출 처리,기타
운영 관리,기기/자산 관리,기타
운영 관리,기타,기타
운영 관리,멤버스 운영,기타
운영 관리,서류/자료 전달,기타
운영 관리,업무 일정 관리,기타
운영 관리,멤버스 운영,멤버스 표시/마크 문의
운영 관리,서류/자료 전달,복수 서류
운영 관리,계약/매출 처리,비정상 매출 조정
운영 관리,기기/자산 관리,사전 고지 안내
운영 관리,서류/자료 전달,서류 발급 불만
운영 관리,서류/자료 전달,서류 발송 지연
운영 관리,서류/자료 전달,소독 증명서
운영 관리,기기/자산 관리,제품 분실/회수 접수
운영 관리,기기/자산 관리,제품 회수 지연
제품,공기청정/살균기,IoT 연결안됨
제품,확인불가,IoT 연결안됨
제품,비데,건조안됨
제품,확인불가,건조안됨
제품,공기청정/살균기,고정안됨
제품,비데,고정안됨
제품,에어제닉,고정안됨
제품,에어퍼퓸,고정안됨
제품,프레쉬제닉,고정안됨
제품,핸드/새니제닉,고정안됨
제품,핸드드라이어,고정안됨
제품,확인불가,고정안됨
제품,FIC,교체요청
제품,에어제닉,교체요청
제품,핸드/새니제닉,교체요청
제품,확인불가,교체요청
제품,FIC,기타
제품,공기청정/살균기,기타
제품,기타,기타
제품,비데,기타
제품,에어제닉,기타
제품,에어커튼,기타
제품,에어퍼퓸,기타
제품,정수기,기타
제품,프레쉬제닉,기타
제품,핸드/새니제닉,기타
제품,핸드드라이어,기타
제품,확인불가,기타
제품,FIC,낙하
제품,공기청정/살균기,낙하
제품,에어제닉,낙하
제품,에어커튼,낙하
제품,에어퍼퓸,낙하
제품,프레쉬제닉,낙하
제품,핸드/새니제닉,낙하
제품,확인불가,낙하
제품,공기청정/살균기,냄새
제품,에어제닉,냄새
제품,에어퍼퓸,냄새
제품,프레쉬제닉,냄새
제품,핸드드라이어,냄새
제품,확인불가,냄새
제품,정수기,냉수 온도 이상
제품,확인불가,냉수 온도 이상
제품,정수기,냉수 출수안됨
제품,확인불가,냉수 출수안됨
제품,비데,노즐 이상
제품,확인불가,노즐 이상
제품,FIC,노후
제품,에어제닉,노후
제품,프레쉬제닉,노후
제품,핸드/새니제닉,노후
제품,확인불가,노후
제품,비데,누수
제품,정수기,누수
제품,확인불가,누수
제품,에어제닉,누수/누액
제품,에어퍼퓸,누수/누액
제품,프레쉬제닉,누수/누액
제품,핸드/새니제닉,누수/누액
제품,확인불가,누수/누액
제품,FIC,램프 이상
제품,공기청정/살균기,램프 이상
제품,확인불가,램프 이상
제품,에어제닉,모듈 고장
제품,확인불가,모듈 고장
제품,에어제닉,모듈 불량
제품,프레쉬제닉,모듈 불량
제품,확인불가,모듈 불량
제품,공기청정/살균기,모터 불량
제품,확인불가,모터 불량
제품,비데,물안나옴
제품,프레쉬제닉,물안나옴
제품,확인불가,물안나옴
제품,정수기,물줄기 약함
제품,확인불가,물줄기 약함
제품,정수기,배수문제
제품,확인불가,배수문제
제품,비데,버튼안됨
제품,확인불가,버튼안됨
제품,비데,변좌센서 오작동
제품,확인불가,변좌센서 오작동
제품,핸드/새니제닉,부품 교체 요청
제품,확인불가,부품 교체 요청
제품,에어제닉,분사불량
제품,확인불가,분사불량
제품,공기청정/살균기,분사안됨
제품,비데,분사안됨
제품,에어제닉,분사안됨
제품,에어퍼퓸,분사안됨
제품,프레쉬제닉,분사안됨
제품,핸드/새니제닉,분사안됨
제품,확인불가,분사안됨
제품,공기청정/살균기,센서 불량
제품,에어커튼,센서 불량
제품,핸드드라이어,센서 불량
제품,확인불가,센서 불량
제품,에어제닉,센싱안됨
제품,프레쉬제닉,센싱안됨
제품,핸드/새니제닉,센싱안됨
제품,확인불가,센싱안됨
제품,FIC,소음
제품,공기청정/살균기,소음
제품,비데,소음
제품,에어제닉,소음
제품,에어커튼,소음
제품,에어퍼퓸,소음
제품,정수기,소음
제품,프레쉬제닉,소음
제품,핸드/새니제닉,소음
제품,확인불가,소음
제품,에어제닉,솔밸브 불량
제품,에어퍼퓸,솔밸브 불량
제품,프레쉬제닉,솔밸브 불량
제품,확인불가,솔밸브 불량
제품,비데,수압
제품,확인불가,수압
제품,FIC,안정기
제품,확인불가,안정기
제품,정수기,얼음 안나옴
제품,확인불가,얼음 안나옴
제품,FIC,에러코드
제품,공기청정/살균기,에러코드
제품,정수기,에러코드
제품,확인불가,에러코드
제품,정수기,온수 온도 이상
제품,정수기,온수 출수안됨
제품,확인불가,온수 출수안됨
제품,FIC,"외관 이상_파손,변형, 긁힘"
제품,공기청정/살균기,"외관 이상_파손,변형, 긁힘"
제품,비데,"외관 이상_파손,변형, 긁힘"
제품,에어제닉,"외관 이상_파손,변형, 긁힘"
제품,에어퍼퓸,"외관 이상_파손,변형, 긁힘"
제품,정수기,"외관 이상_파손,변형, 긁힘"
제품,프레쉬제닉,"외관 이상_파손,변형, 긁힘"
제품,핸드/새니제닉,"외관 이상_파손,변형, 긁힘"
제품,핸드드라이어,"외관 이상_파손,변형, 긁힘"
제품,확인불가,"외관 이상_파손,변형, 긁힘"
제품,FIC,이전 설치 요청
제품,공기청정/살균기,이전 설치 요청
제품,비데,이전 설치 요청
제품,에어제닉,이전 설치 요청
제품,정수기,이전 설치 요청
제품,프레쉬제닉,이전 설치 요청
제품,핸드/새니제닉,이전 설치 요청
제품,확인불가,이전 설치 요청
제품,공기청정/살균기,작동안됨
제품,비데,작동안됨
제품,에어제닉,작동안됨
제품,정수기,작동안됨
제품,프레쉬제닉,작동안됨
제품,핸드/새니제닉,작동안됨
제품,확인불가,작동안됨
제품,에어제닉,장비 교체 요청
제품,확인불가,장비 교체 요청
제품,FIC,재설치 요청
제품,공기청정/살균기,재설치 요청
제품,비데,재설치 요청
제품,에어제닉,재설치 요청
제품,에어커튼,재설치 요청
제품,에어퍼퓸,재설치 요청
제품,정수기,재설치 요청
제품,프레쉬제닉,재설치 요청
제품,핸드/새니제닉,재설치 요청
제품,핸드드라이어,재설치 요청
제품,확인불가,재설치 요청
제품,FIC,전원 안들어옴
제품,에어커튼,전원 안들어옴
제품,에어퍼퓸,전원 안들어옴
제품,프레쉬제닉,전원 안들어옴
제품,핸드/새니제닉,전원 안들어옴
제품,핸드드라이어,전원 안들어옴
제품,확인불가,전원 안들어옴
제품,FIC,점검요청
제품,공기청정/살균기,점검요청
제품,비데,점검요청
제품,에어제닉,점검요청
제품,에어커튼,점검요청
제품,에어퍼퓸,점검요청
제품,정수기,점검요청
제품,프레쉬제닉,점검요청
제품,핸드/새니제닉,점검요청
제품,핸드드라이어,점검요청
제품,확인불가,점검요청
제품,FIC,점등안됨
제품,확인불가,점등안됨
제품,FIC,제품문의
제품,공기청정/살균기,제품문의
제품,에어커튼,제품문의
제품,에어퍼퓸,제품문의
제품,정수기,제품문의
제품,확인불가,제품문의
제품,에어제닉,체결불량
제품,에어퍼퓸,체결불량
제품,프레쉬제닉,체결불량
제품,확인불가,체결불량
제품,정수기,출수 동작안됨
제품,확인불가,출수 동작안됨
제품,FIC,카트리지 점검요청
제품,확인불가,카트리지 점검요청
제품,에어제닉,케미컬 미소진
제품,프레쉬제닉,케미컬 미소진
제품,확인불가,케미컬 미소진
제품,에어제닉,케미컬 소진
제품,에어퍼퓸,케미컬 소진
제품,프레쉬제닉,케미컬 소진
제품,핸드/새니제닉,케미컬 소진
제품,확인불가,케미컬 소진
제품,공기청정/살균기,팬 작동안됨
제품,확인불가,팬 작동안됨
제품,정수기,품질 불만 (맛/냄새/이물질)
제품,확인불가,품질 불만 (맛/냄새/이물질)
제품,에어제닉,향 강함
제품,에어퍼퓸,향 강함
제품,확인불가,향 강함
제품,에어제닉,향 교체
제품,에어퍼퓸,향 교체
제품,확인불가,향 교체
제품,에어제닉,향 약함
제품,에어퍼퓸,향 약함
제품,확인불가,향 약함
해약/환불,계약 변경/취소 요청,고객 요청 해약
해약/환불,부분 해약,고객 요청 해약
해약/환불,부분 해약,기기변경
해약/환불,계약 변경/취소 요청,기타
해약/환불,기타,기타
해약/환불,부분 해약,기타
해약/환불,해약 요청,기타
해약/환불,해약 처리 오류,기타
해약/환불,해약 후 처리 지연,기타
해약/환불,환불 요청,기타
해약/환불,해약 요청,내부 기준에 따른 해약
해약/환불,부분 해약,당월 미작업
해약/환불,부분 해약,명의변경
해약/환불,해약 요청,명의변경
해약/환불,부분 해약,비용 부담으로 인한 해약
해약/환불,해약 요청,비용 부담으로 인한 해약
해약/환불,해약 요청,사망/명의변경/이사 등으로 인한 해약
해약/환불,환불 요청,서비스 미제공 환불 요청
해약/환불,부분 해약,서비스 불만족으로 인한 해약
해약/환불,해약 요청,서비스 불만족으로 인한 해약
해약/환불,환불 요청,서비스 불만족으로 인한 해약
해약/환불,계약 변경/취소 요청,설치 전 취소 요청
해약/환불,해약 처리 오류,안내 오류
해약/환불,부분 해약,유지 필요성 없음
해약/환불,해약 요청,유지 필요성 없음
해약/환불,부분 해약,의무사용기간만료
해약/환불,해약 요청,의무사용기간만료
해약/환불,환불 요청,이중결제
해약/환불,해약 요청,재렌탈
해약/환불,부분 해약,제품 고장으로 인한 해약
해약/환불,부분 해약,제품 불만 해약 요청
해약/환불,해약 요청,제품 불만 해약 요청
해약/환불,해약 후 처리 지연,제품 회수 누락/지연
해약/환불,계약 변경/취소 요청,청약철회
해약/환불,부분 해약,청약철회
해약/환불,부분 해약,타사 서비스 이용으로 인한 해약
해약/환불,해약 요청,타사 서비스 이용으로 인한 해약
해약/환불,부분 해약,타사 제품 사용으로 인한 해약
해약/환불,해약 요청,타사 제품 사용으로 인한 해약
해약/환불,해약 요청,폐업
해약/환불,해약 요청,해충 문제 미해결
해약/환불,해약 요청,해충 문제 해결
해약/환불,해약 요청,허위계약/명의도용
해약/환불,해약 후 처리 지연,후속 처리 지연
해충 문제,방문 요청,개미
해충 문제,방제 효과 미흡/불만,개미
해충 문제,추가 방문 요청,개미
해충 문제,방문 요청,그 외 해충
해충 문제,방제 효과 미흡/불만,그 외 해충
해충 문제,추가 방문 요청,그 외 해충
해충 문제,기타,기타
해충 문제,방문 요청,기타
해충 문제,방제 효과 미흡/불만,기타
해충 문제,추가 방문 요청,기타
해충 문제,방문 요청,바퀴
해충 문제,방제 효과 미흡/불만,바퀴
해충 문제,추가 방문 요청,바퀴
해충 문제,방문 요청,비래해충
해충 문제,방제 효과 미흡/불만,비래해충
해충 문제,추가 방문 요청,비래해충
해충 문제,방문 요청,빈대
해충 문제,방제 효과 미흡/불만,빈대
해충 문제,추가 방문 요청,빈대
해충 문제,방문 요청,쥐
해충 문제,방제 효과 미흡/불만,쥐
해충 문제,추가 방문 요청,쥐
